3241, -63, 6.2825870513916016, 0, 792, 425, 321, 296, 320, 420, 811, 0, 1148, 1239, 1140, 406, 440, 582, 1081
3260, -63, 6.2826461791992188, 0, 791, 425, 321, 296, 319, 420, 811, 0, 1142, 1212, 1411, 406, 440, 583, 1082
3279, -64, 6.2826075553894043, 0, 790, 424, 320, 295, 319, 419, 809, 0, 1137, 1184, 0, 407, 441, 583, 1084
3298, -64, 6.2825059890747070, 0, 788, 423, 320, 295, 318, 418, 808, 0, 1133, 1157, 0, 407, 441, 584, 1085
3318, -65, 6.2823481559753418, 0, 787, 423, 319, 295, 318, 418, 807, 0, 1130, 1130, 0, 408, 442, 584, 1086
3338, -65, 6.2821545600891113, 0, 787, 422, 319, 294, 317, 417, 805, 0, 1127, 1101, 0, 408, 442, 585, 1086
3358, -65, 6.2819314002990723, 0, 787, 422, 319, 294, 317, 417, 804, 0, 1125, 1073, 0, 0, 442, 585, 1086
3378, -65, 6.2817029953002930, 0, 788, 423, 319, 294, 317, 417, 804, 0, 1124, 1044, 0, 0, 442, 585, 1085
3399, -64, 6.2815408706665039, 0, 789, 423, 319, 294, 318, 417, 804, 0, 1123, 1015, 0, 0, 442, 584, 1084
3420, -64, 6.2814669609069824, 0, 790, 423, 320, 295, 318, 417, 805, 0, 1123, 985, 0, 0, 442, 584, 1083
3441, -64, 6.2814364433288574, 0, 791, 424, 320, 295, 318, 418, 805, 0, 1122, 955, 0, 0, 441, 583, 1082
3463, -63, 6.2814626693725586, 0, 791, 424, 320, 295, 318, 418, 806, 0, 1122, 924, 0, 0, 441, 583, 1081
3485, -63, 6.2815213203430176, 0, 792, 425, 321, 295, 319, 419, 807, 0, 1121, 893, 1736, 0, 441, 583, 1081
3506, -63, 6.2816228866577148, 0, 792, 425, 321, 296, 319, 419, 807, 0, 1121, 862, 1677, 0, 441, 582, 1081
3527, -63, 6.2817564010620117, 0, 792, 425, 321, 296, 319, 419, 808, 0, 1120, 832, 1618, 0, 443, 582, 1081
3548, -63, 6.2819271087646484, 0, 792, 425, 321, 296, 319, 419, 808, 0, 1119, 802, 1560, 0, 456, 582, 1081
3568, -63, 6.2820954322814941, 0, 792, 425, 321, 296, 319, 419, 809, 0, 1119, 773, 1504, 0, 481, 582, 1081
3587, -63, 6.2822384834289551, 0, 791, 425, 321, 296, 319, 419, 809, 0, 1119, 744, 1448, 0, 514, 583, 1082
